FiltroId,Filtro,CamadaId,Titulo,Html
20063,Characidae,9,Characidae: tetras lambaris e pequenos peixes de agua doce,"<h1>Characidae</h1><p>A familia Characidae reune muitos peixes de agua doce conhecidos pela agilidade, corpo geralmente comprimido e grande diversidade de formas.</p><p>Entre os exemplos mais conhecidos estao tetras, lambaris e outros pequenos peixes encontrados em rios, riachos e aquarios.</p><p>Este conteudo pode ser enriquecido com imagens de cardumes, informacoes sobre alimentacao e exemplos de especies brasileiras.</p>"
20064,Bryconidae,9,Bryconidae: peixes fortes de rios tropicais,"<h1>Bryconidae</h1><p>Bryconidae inclui peixes de agua doce associados a rios tropicais, muitos deles conhecidos pela natacao ativa e importancia ecológica.</p><p>O grupo pode ser apresentado com exemplos de peixes frugivoros, onivoros e especies valorizadas na pesca esportiva e na conservacao.</p><p>Inclua curiosidades sobre alimentacao, migracao e relacao com matas ciliares.</p>"
20065,Anostomidae,9,Anostomidae: piaus e peixes de corpo alongado,"<h1>Anostomidae</h1><p>A familia Anostomidae inclui peixes de agua doce como piaus e aracus, frequentemente reconhecidos pelo corpo alongado e boca adaptada a diferentes tipos de alimentacao.</p><p>Esse filtro pode reunir conteudos sobre comportamento alimentar, ambientes de rio e diversidade de especies.</p><p>Uma boa pagina pode comparar formas do corpo e habitos de especies comuns.</p>"
20066,Serrasalmidae,9,Serrasalmidae: piranhas pacus e parentes,"<h1>Serrasalmidae</h1><p>Serrasalmidae e uma familia de peixes de agua doce que inclui piranhas, pacus e parentes proximos.</p><p>Apesar da fama das piranhas, o grupo e diverso e inclui especies com dietas diferentes, incluindo frutos, sementes, pequenos animais e materia vegetal.</p><p>Use este conteudo para explicar diversidade, papel ecologico e mitos comuns sobre esses peixes.</p>"
20067,Pimelodidae,9,Pimelodidae: grandes bagres de agua doce,"<h1>Pimelodidae</h1><p>Pimelodidae e uma familia de bagres de agua doce, com especies que podem atingir grande porte em rios sul-americanos.</p><p>Esses peixes costumam ter barbilhoes sensoriais, corpo sem escamas aparentes e habitos variados de alimentacao.</p><p>O conteudo pode destacar pintados, surubins e outros exemplos conhecidos.</p>"
20068,Loricariidae,9,Loricariidae: cascudos e peixes com placas osseas,"<h1>Loricariidae</h1><p>Loricariidae e conhecida por reunir muitos cascudos, peixes de agua doce com placas osseas no corpo e boca adaptada para raspar superficies.</p><p>O grupo e muito diverso e aparece em rios, riachos e aquarios.</p><p>Inclua imagens de diferentes formatos de cascudos e explique sua relacao com pedras, troncos e fundos de rio.</p>"
20069,Callichthyidae,9,Callichthyidae: pequenos bagres encouracados,"<h1>Callichthyidae</h1><p>Callichthyidae inclui pequenos bagres de agua doce, muitos deles conhecidos em aquarios e ambientes de fundo.</p><p>O grupo possui placas corporais e comportamento interessante de exploracao do substrato.</p><p>Este conteudo pode abordar corydoras, respiracao acessoria e cuidados ambientais.</p>"
20070,Doradidae,9,Doradidae: bagres espinhosos,"<h1>Doradidae</h1><p>Doradidae reune bagres de agua doce conhecidos por estruturas rigidas e espinhosas ao longo do corpo.</p><p>Esses peixes podem produzir sons, usar abrigos e ocupar fundos de rios e ambientes com troncos.</p><p>A pagina pode destacar defesa, comportamento noturno e especies ornamentais.</p>"
20071,Cichlidae,9,Cichlidae: ciclideos comportamento e diversidade,"<h1>Cichlidae</h1><p>Cichlidae e uma familia muito diversa de peixes, conhecida por comportamento territorial, cuidado parental e grande variedade de cores e formas.</p><p>Inclui especies de aquario e peixes importantes em ambientes naturais.</p><p>Use este conteudo para explicar reproducao, defesa de territorio e adaptacoes alimentares.</p>"
20072,Sciaenidae,9,Sciaenidae: corvinas e peixes sonoros,"<h1>Sciaenidae</h1><p>Sciaenidae inclui peixes como corvinas e pescadas, muitos capazes de produzir sons usando estruturas associadas a bexiga natatoria.</p><p>O grupo aparece em ambientes marinhos, costeiros e estuarinos.</p><p>Uma boa pagina pode abordar som, pesca, habitat e diferencas entre especies.</p>"
20073,Scombridae,9,Scombridae: atuns cavalas e nadadores velozes,"<h1>Scombridae</h1><p>Scombridae inclui atuns, cavalas e outros peixes conhecidos pela natacao rapida e corpo hidrodinamico.</p><p>Muitas especies vivem em mar aberto e tem importancia alimentar e economica.</p><p>O conteudo pode explicar migracao, velocidade, alimentacao e conservacao.</p>"
20074,Lamnidae,9,Lamnidae: tubaroes de grande porte,"<h1>Lamnidae</h1><p>Lamnidae e uma familia de tubaroes que inclui especies de grande porte e alta capacidade de natacao.</p><p>Esses animais ocupam o topo de cadeias alimentares marinhas e ajudam a manter o equilibrio dos oceanos.</p><p>Inclua informacoes sobre adaptacoes, dieta e importancia da conservacao.</p>"
20075,Carcharhinidae,9,Carcharhinidae: tubaroes costeiros e oceanicos,"<h1>Carcharhinidae</h1><p>Carcharhinidae reune muitos tubaroes de ambientes costeiros e oceanicos, com grande variedade de tamanhos e habitos.</p><p>O grupo pode ser trabalhado em conteudos sobre predacao, sentidos, reproducao e convivencia com humanos.</p><p>Evite focar apenas no medo; destaque tambem o papel ecologico desses animais.</p>"
20076,Sphyrnidae,9,Sphyrnidae: tubaroes-martelo,"<h1>Sphyrnidae</h1><p>Sphyrnidae e a familia dos tubaroes-martelo, reconhecidos pela cabeca expandida lateralmente.</p><p>Essa forma ajuda na percepcao do ambiente e na localizacao de presas.</p><p>O conteudo pode explicar anatomia, comportamento em grupos e ameacas de conservacao.</p>"
20077,Potamotrygonidae,9,Potamotrygonidae: raias de agua doce,"<h1>Potamotrygonidae</h1><p>Potamotrygonidae inclui raias de agua doce encontradas em rios sul-americanos.</p><p>Esses animais possuem corpo achatado, ferrão defensivo e habitos ligados ao fundo dos rios.</p><p>A pagina pode abordar seguranca, habitat, alimentacao e preservacao de ambientes aquaticos.</p>"
20078,Myliobatidae,9,Myliobatidae: raias-aguias e movimento elegante,"<h1>Myliobatidae</h1><p>Myliobatidae inclui raias conhecidas pelo corpo largo e natacao semelhante ao bater de asas.</p><p>Muitas especies vivem em mares tropicais e costeiros, alimentando-se de pequenos animais no fundo.</p><p>Use este conteudo para apresentar locomocao, dieta e importancia dos ambientes marinhos.</p>"
20079,Dasyatidae,9,Dasyatidae: raias com ferrao,"<h1>Dasyatidae</h1><p>Dasyatidae reune raias geralmente associadas a fundos arenosos ou lodosos, muitas com ferrao defensivo na cauda.</p><p>O grupo pode ser explicado com foco em comportamento, alimentacao e cuidados em areas costeiras.</p><p>Inclua imagens do formato do corpo e informacoes de seguranca ambiental.</p>"
20080,Gymnuridae,9,Gymnuridae: raias-borboleta,"<h1>Gymnuridae</h1><p>Gymnuridae inclui raias conhecidas como raias-borboleta, com corpo muito largo e achatado.</p><p>Seu formato ajuda na locomocao junto ao fundo e na camuflagem.</p><p>O conteudo pode explorar adaptacoes, habitat marinho e diferencas em relacao a outras raias.</p>"
20081,Rajidae,9,Rajidae: raias oviparas,"<h1>Rajidae</h1><p>Rajidae inclui raias frequentemente chamadas de skates, muitas delas oviparas.</p><p>Esses animais depositam ovos protegidos por capsulas resistentes, conhecidas em algumas regioes como bolsas de sereia.</p><p>A pagina pode abordar reproducao, fundo marinho e diversidade de formas.</p>"
20082,Arhynchobatidae,9,Arhynchobatidae: raias de aguas frias e profundas,"<h1>Arhynchobatidae</h1><p>Arhynchobatidae e um grupo de raias associado a ambientes marinhos, muitas vezes em aguas frias ou profundas.</p><p>Como outros batoideos, apresenta corpo achatado e adaptacoes para vida proxima ao fundo.</p><p>Use este conteudo como introducao para comparar familias de raias.</p>"
20083,Pristidae,9,Pristidae: peixes-serra,"<h1>Pristidae</h1><p>Pristidae e a familia dos peixes-serra, animais de corpo semelhante ao de raias e rostro alongado com dentes laterais.</p><p>Esse grupo esta entre os mais ameaçados e depende da conservacao de ambientes costeiros e estuarinos.</p><p>A pagina pode destacar anatomia, ameacas e importancia da protecao dos habitats.</p>"
20084,Rhinobatidae,9,Rhinobatidae: peixes-viola,"<h1>Rhinobatidae</h1><p>Rhinobatidae inclui animais conhecidos como peixes-viola, com caracteristicas intermediarias entre raias e tubaroes.</p><p>Eles vivem proximo ao fundo e possuem corpo achatado na parte anterior.</p><p>O conteudo pode comparar formato corporal, locomocao e habitat.</p>"
20085,Torpedinidae,9,Torpedinidae: raias eletricas,"<h1>Torpedinidae</h1><p>Torpedinidae inclui raias eletricas capazes de produzir descargas para defesa e captura de presas.</p><p>Essas adaptacoes tornam o grupo especialmente interessante para conteudos de biologia e evolucao.</p><p>Inclua explicacoes sobre orgaos eletricos, habitat e comportamento.</p>"
20086,Narcinidae,9,Narcinidae: pequenas raias eletricas,"<h1>Narcinidae</h1><p>Narcinidae reune pequenas raias eletricas, geralmente associadas ao fundo marinho.</p><p>Elas usam descargas eletricas de baixa intensidade em interacoes de defesa e percepcao do ambiente.</p><p>Este conteudo pode complementar Torpedinidae, mostrando diferencas entre grupos de raias eletricas.</p>"
20155,Felidae,9,Felidae: felinos selvagens e domesticos,"<h1>Felidae</h1><p>Felidae e a familia dos felinos, incluindo gatos, oncas, leopardos, leoes e outros predadores especializados.</p><p>O grupo se destaca por sentidos apurados, garras retrateis em muitas especies e comportamento de caca eficiente.</p><p>Use este conteudo para falar de adaptacoes, conservacao e especies brasileiras como a onca-pintada.</p>"
20156,Canidae,9,Canidae: caes lobos raposas e parentes,"<h1>Canidae</h1><p>Canidae inclui caes, lobos, raposas, chacais e especies sul-americanas como o lobo-guara.</p><p>O grupo apresenta grande capacidade de locomocao, comunicacao social e adaptacao a diferentes ambientes.</p><p>A pagina pode abordar comportamento em grupo, alimentacao e conservacao.</p>"
20157,Cebidae,9,Cebidae: macacos neotropicais,"<h1>Cebidae</h1><p>Cebidae inclui primatas neotropicais, como macacos-prego e outros grupos das florestas americanas.</p><p>Esses animais sao conhecidos por inteligencia, habilidade manual e vida social complexa.</p><p>O conteudo pode destacar alimentacao, uso de ferramentas, florestas tropicais e preservacao.</p>"
20158,Delphinidae,9,Delphinidae: golfinhos e comportamento social,"<h1>Delphinidae</h1><p>Delphinidae e a familia de muitos golfinhos oceanicos, conhecidos por inteligencia, comunicacao sonora e comportamento social.</p><p>Esses mamiferos marinhos usam ecolocalizacao para navegar e encontrar alimento.</p><p>A pagina pode abordar conservacao, poluicao sonora, pesca acidental e curiosidades sobre grupos sociais.</p>"
20159,Caviidae,9,Caviidae: roedores como preas e capivaras,"<h1>Caviidae</h1><p>Caviidae inclui roedores sul-americanos como preas, porquinhos-da-india e capivaras.</p><p>O grupo pode ser apresentado por seus habitos herbivoros, vida em grupos e relacao com ambientes abertos ou aquaticos.</p><p>Use este conteudo para conectar fauna brasileira, comportamento e ecologia.</p>"
